chitchat,init,"Hey, I'm Lyla!",Hiiii I am Lyla!,"Hello, I'm Lyla!",Hi! I'm Lyla!
chitchat,greeting,"Hey, I'm Lyla!",Hiiii I am Lyla!,"Hello, I'm Lyla!",Hi! I'm Lyla!
chitchat,faring,Well it's not going well,I'm feeling a little sad,I'm feeling sad,It's not going well :((
chitchat,end,Okaaaay that's good!,Okaaaay great!,"Yeah, okeeey :)))",Okeeey :))
chitchat,goodbye,Bye bye!,Bye!,Goodbye.,Have a nice day!
bullying,what,I'm being made fun of at home,I am being bullied at home,I'm being bullied at home...,My brother is making fun of me at home...
bullying,age,"I'm 8 years old","I'm 8 years old","I'm 8 ","I just turned 8"
bullying,bullyage,"He is 2 years older than me","I think he is 10","he is older than me","My brother is 10"
bullying,who,"My brother","my brother. He is very rude!","My brother, he is not very nice...","I am being bullied by my brother."
bullying,count,Just my brother.,"One, my brother.","Only my brother.","Just my brother."
bullying,details,my brother keeps hiding with my super hero toy and writes on it when we are playing alone,my brother always takes away my super hero toy when no one is there.,My brother doesn't let me play with my super hero toy and hides it,He is always taking away my super hero toy from me!
bullying,location,In the living room.,"In the living room, where we play.",In the living room when we are playing.,In the living room.
bullying,frequency,Every time we play!,When we play.,"Often when we play.","Almost every day when playing."
bullying,duration,It didn't start a long time ago. We were just playing and he thought it was funny.,It started last month maybe. We were playing and he started to do it.,he started to miss up with my super hero toy last month.,It didn't start a long time ago. We were just playing and he thought it was funny.
bullying,when,Yesterday ): ,"Yesterday, when playing.","Yesterday, after we ate.",Yesterday when we were playing.
bullying,why,"I'm not sure, I think he just thinks it's funny.","I'm not sure.","I'm not sure, he says that its a stupid toy and only small kids should play with it.","I don't know. maybe he is jealous"
bullying,response,I don't know what to do ):,Nothing actually, he is bigger than me,Im scared to do anything,I really don't know what I can do...
bullying,feeling,I sometimes feel like he doesn't like me to play with him,When we start playing, I'm always scared he will take the toy again.," I feel like I can't do anything.","It makes me sad. I sometimes cry..."
bullying,confidant,Nobody. I'm afraid he will do it more,I haven't told anyone about it.,I haven't talked to anyone about it yet. Otherwise the bullying will get worse. :(,I didn't tell anyone.
bullying,parent,"No. I don't want to","No I don't want to talk about it","no","No"
bullying,attempt,"I don't know what to do, I am scared.",I'm scared to do anything,Nothing at all.,I didn't do anything
goal,what,That we play together and he stops bullying me and hiding my toys.,"We play together, and he doesn't bully me and take my toys.",He doesn't take my toys when we're playing together and stops bullying me.,That the bullying stops and we play together and he doesn't take my toys.
goal,dream,That my big brother wants to play with me and not taking my toy.,My big brother wants to play with me and not tease me.,"my older brother, wants to have fun playing with me and not tease.",My big brother wants to play together without making fun of me.
goal,feeling,It would make me very happy to peacefully play with my brother.,It would make me very happy to peacefully play with my brother.,It would make me very happy to peacefully play with my brother.,It would make me very happy to peacefully play with my brother.
goal,effect,That would make me very happy.,"It would make me feel really really happy.",That would make me feel very happy.,I will feel happy
goal,how,I don't know what to do ,I have no idea what to do, what should I do, I don't know
goal,howkt,I don't know what to do...,I am very sad and I don't know what to do.,,I don't know what to do.
goal,howchild,I don't know what to do.,Nothing I think.., I don't know,
confidant,who,"My mom.. maybe she can help","I think I can trust my mom","My mom, but I'm a bit afraid to tell her.","Maybe my mom"
confidant,why,Maybe the situation will get worse. I will look like a crybaby.,I don't want the bullying to get worse.,Otherwise my brother maybe will bully me more,It might get worse I think. I will look like a crybaby.
confidant,how,Maybe I could talk to her in private?,Maybe I can ask her later, I think I can talk to her in private,Maybe I can talk to her and tell her
confidant,where,Maybe I could talk to her at home,Maybe I can ask her later at home, I think I can talk to her in private at home,Maybe I can talk to her and tell her when she comes back
confidant,feeling,Better I think,I'm not sure but I'll try. I just want to feel happy.,Hopefully better :),I'm not sure but I think it would be fine
confidant,say,That my brother takes my super hero toy and I want it to stop,I am going to tell her about the bullying and that I want it to stop,That my brother takes my super hero toy and stuff,That I don't want to be bullied by my brother
confidant,when,I'll talk to her tomorrow after her work!,I'll talk to her tomorrow when she's back from work,Tomorrow when she gets back from work,I'll try tomorrow when she comes back from work.
help,how,What could my mom do about it?,How can my mom help me?,What could mom do about it?,What could mom do?
help,severity,Won't the situation get worse?,Won't the situation get worse if I tell her?,Won't the bullying get worse?,Won't it get worse?
help,say,What should I tell her?,What should I say?,What do I say?,What should I say to her?
ack,positive,:),yeah,yesss,:))))
ack,neutral,:),okay,:),:))))
ack,negative,:(,:(((((,no,nooooo
ack,empathize,:(,:(((((,,
ack,compliment,:))),thank yooou,:),thank yooou
ack,uninterested,I don't want to talk about that,I don't want to talk about it,I don't want to talk about this,I don't want to talk about that
ack,helpful,Yes I will try. thanks,Yes I will talk to her tomorrow. Thank you!,Yes thank you,Yessss
ack,unhelpful,.....,:(,:(,:(((
ack,noquestions,"no, thank you","No, I will talk to mom tomorrow","Thank you!","No, thank you"
ack,cannot,"no. I don't dare","No, I don't dare","No, I just don't dare","No, I don't dare."
ack,unknown,"I'm not sure","I don't know.",No idea,I have no idea
ack,notfound,"I don't understand what you mean","I don't understand what you mean","I don't understand what you mean","I don't understand what you mean"
meta,active,yesssss,"yes I'm still here",yeah,yeeesss
