C1,Hitting back leads to Power,0.8, 1
C2,Hitting back leads to Security,0.5, 1
C3,Walking away leads to Security,0.5, 1
C4,Walk away leads to Power,0.6, 1
C5,Not-telling leads to Benevolence,0.2, 1
C6,Not-telling leads to Security,0.3, 1
C7,Telling leads to Security,0.2, 1
C8,Telling leads to Benevolence,0.1, 1
C1,Hitting back leads to Power,0.2, 2
C2,Hitting back leads to Security,0.2, 2
C3,Walking away leads to Security,0.3, 2
C4,Walk away leads to Power,0.2, 2
C5,Not-telling leads to Benevolence,0.8, 2
C6,Not-telling leads to Security,0.5, 2
C7,Telling leads to Security,0.5, 2
C8,Telling leads to Benevolence,0.6, 2
